filename_stem,parse_ok,parse_error,set_id,role,tissue,stain,genotype,work_order,label_type,filename,tissue_token,tissue_class,contour_count,dominance,mean_contour_area,median_contour_area,max_contour_area,min_contour_area,total_tissue_area,tissue_fraction,image_height,image_width,otsu_threshold,measurement_exclusion,measured,eligible_for_threshold
set_01_block_silhouette_lung_MT_TWKOB4,True,,1,block_silhouette,lung,MT,TWKOB4,,yellow,set_01_block_silhouette_lung_MT_TWKOB4.jpeg,lung,lung,2.0,0.6530733319459414,724380.75,724380.75,946147.5,502614.0,1448761.5,0.09711144617311945,3024.0,3024.0,140.0,,True,False
set_01_slide_lung_MT_TWKOB4,True,,1,slide,lung,MT,TWKOB4,,yellow,set_01_slide_lung_MT_TWKOB4.jpeg,lung,lung,0.0,,,,0.0,,0.0,0.42197932413706224,3024.0,3024.0,140.0,no_contours,True,False
set_02_block_barcode_lungs_HE_WT3_WO7842,True,,2,block_barcode,lungs,HE,WT3,WO7842,white,set_02_block_barcode_lungs_HE_WT3_WO7842.jpeg,lungs,lung,,,,,,,,,,,,,False,False
set_02_block_silhouette_lungs_HE_WT3_WO7842,True,,2,block_silhouette,lungs,HE,WT3,WO7842,white,set_02_block_silhouette_lungs_HE_WT3_WO7842.jpeg,lungs,lung,2.0,0.8134924898301796,646889.5,646889.5,1052479.5,241299.5,1293779.0,0.10797690346714818,3024.0,3024.0,123.0,,True,False
set_02_slide_lungs_HE_WT3_WO7842,True,,2,slide,lungs,HE,WT3,WO7842,white,set_02_slide_lungs_HE_WT3_WO7842.jpeg,lungs,lung,4.0,0.9847646868343082,164830.875,4482.75,649278.5,1079.5,659323.5,0.07328694080512864,3024.0,3024.0,148.0,,True,True
set_03_block_barcode_esophagus_HE_TWKO4_WO7842,True,,3,block_barcode,esophagus,HE,TWKO4,WO7842,white,set_03_block_barcode_esophagus_HE_TWKO4_WO7842.jpeg,esophagus,esophagus,,,,,,,,,,,,,False,False
set_03_block_silhouette_esophagus_HE_TWKO4_WO7842,True,,3,block_silhouette,esophagus,HE,TWKO4,WO7842,white,set_03_block_silhouette_esophagus_HE_TWKO4_WO7842.jpeg,esophagus,esophagus,3.0,0.4077919932907269,623614.5,762470.5,762915.0,345458.0,1870843.5,0.1457993241020688,3024.0,3024.0,143.0,,True,False
set_03_slide_esophagus_HE_TWKO4_WO7842,True,,3,slide,esophagus,HE,TWKO4,WO7842,white,set_03_slide_esophagus_HE_TWKO4_WO7842.jpeg,esophagus,esophagus,4.0,0.5999523279834738,3146.5,1695.25,7551.0,1644.5,12586.0,0.0021320835432938607,3024.0,3024.0,151.0,,True,True
set_04_block_barcode_esophagus_HE_WT5_WO7842,True,,4,block_barcode,esophagus,HE,WT5,WO7842,white,set_04_block_barcode_esophagus_HE_WT5_WO7842.jpeg,esophagus,esophagus,,,,,,,,,,,,,False,False
set_04_block_silhouette_esophagus_HE_WT5_WO7842,True,,4,block_silhouette,esophagus,HE,WT5,WO7842,white,set_04_block_silhouette_esophagus_HE_WT5_WO7842.jpeg,esophagus,esophagus,3.0,0.7466115035141945,420651.1666666667,316628.0,942189.0,3136.5,1261953.5,0.07433980536659109,3024.0,3024.0,127.0,,True,False
set_04_slide_esophagus_HE_WT5_WO7842,True,,4,slide,esophagus,HE,WT5,WO7842,white,set_04_slide_esophagus_HE_WT5_WO7842.jpeg,esophagus,esophagus,7.0,0.9375604037729822,43383.642857142855,2081.0,284723.5,1638.5,303685.5,0.03439765824025083,3024.0,3024.0,147.0,,True,True
set_05_block_barcode_lungs_HE_WT2_WO7842,True,,5,block_barcode,lungs,HE,WT2,WO7842,white,set_05_block_barcode_lungs_HE_WT2_WO7842.jpeg,lungs,lung,,,,,,,,,,,,,False,False
set_05_block_silhouette_lungs_HE_WT2_WO7842,True,,5,block_silhouette,lungs,HE,WT2,WO7842,white,set_05_block_silhouette_lungs_HE_WT2_WO7842.jpeg,lungs,lung,4.0,0.5325248827969841,567711.5,529212.25,1209282.0,3139.5,2270846.0,0.2034335982335321,3024.0,3024.0,144.0,,True,False
set_05_slide_lungs_HE_WT2_WO7842,True,,5,slide,lungs,HE,WT2,WO7842,white,set_05_slide_lungs_HE_WT2_WO7842.jpeg,lungs,lung,8.0,0.9604665844041782,63262.9375,1592.0,486095.5,1042.0,506103.5,0.05614781920998852,3024.0,3024.0,150.0,,True,True
set_06_block_barcode_lungs_HE_TWKO5_WO7842,True,,6,block_barcode,lungs,HE,TWKO5,WO7842,white,set_06_block_barcode_lungs_HE_TWKO5_WO7842.jpeg,lungs,lung,,,,,,,,,,,,,False,False
set_06_block_silhouette_lungs_HE_TWKO5_WO7842,True,,6,block_silhouette,lungs,HE,TWKO5,WO7842,white,set_06_block_silhouette_lungs_HE_TWKO5_WO7842.jpeg,lungs,lung,1.0,1.0,3291898.5,3291898.5,3291898.5,3291898.5,3291898.5,0.34657440651157584,3024.0,3024.0,111.0,,True,False
