,set_02,set_03,set_04,set_05,set_06,set_07,set_08,set_09,set_10,set_11,set_12,set_13,set_14,set_15,set_16,set_17,set_18,set_19,set_20,set_21,set_22,set_23,set_24,set_25,set_26,set_27,set_28,set_29,set_30,set_31,set_32,set_33,set_34,set_35,set_36,set_37,set_38,set_39,set_40,set_41,set_42,set_43,set_44,set_45,set_46,set_47
set_01,0.07111934966845347,0.06374654842169934,0.06429471538930602,0.06210004024393271,0.1348746349456962,0.08755911471277003,0.07980070185223861,0.06210610816331707,0.06238829277361128,0.06221433884131267,0.06922523618843934,0.0556466296394826,0.05116984884407844,0.06130476461866367,0.16144920007984545,0.06212179566411549,0.07620402525390746,0.05059727521462169,0.1834610171965826,0.0807853396798781,0.08142134997989532,0.09656710758191085,0.12294116921643401,0.09217219786430428,0.07484359160928233,0.16859869958734947,0.07660187281467364,0.0629302989804939,0.06682934520688798,0.09180327339632811,0.09683729164073163,0.08106163391761916,0.06010063094185179,0.11737199312968016,0.0587597760862942,0.07758547847507716,0.08989526827508001,0.06507888327872381,0.18762423309636564,0.06649431846193293,0.08019681895352397,0.0500491793813254,0.19672412827370583,0.06324196453575202,0.08335392851161111,0.06059472211286624
set_02,0.1593838245954866,0.37739732924167935,0.1674059636891682,0.17191781929720426,0.0928625750053518,0.1049856565720132,0.11171683157244432,0.1350337880723413,0.33751810728067705,0.3033862896411805,0.30282509262581114,0.8810049374216796,0.9837797153241332,0.13934318180865696,0.08684967778941152,0.21240299955081357,0.11925670516339669,0.6825314272950411,0.07383300154011549,0.12293606887732741,0.13292722280140049,0.14895644555172668,0.056393474463290974,0.14187140504395446,0.35322178517237546,0.07076524903294186,0.1322825077229225,0.14972533126372703,0.13433037844259202,0.33582480561131456,0.1537508974026951,0.2716158191905938,0.15833350759853274,0.15828668246974417,0.3709237651392822,0.2106196425976971,0.2677015950770328,0.3373684201177046,0.07076234723996332,0.15293866150254196,0.622330806456917,0.9204859125002146,0.0728434133596745,0.14229397204689792,0.15748554747166113,0.18399869239801597
set_03,0.1667886094353014,0.42290826807188087,0.15853437045150276,0.16625569546169233,0.08151124304565394,0.13924867896675355,0.1436688039301949,0.14772502830426018,0.38329606531309796,0.36326111500088726,0.36315015837663156,0.4253969001269115,0.4150799393428785,0.14617297335734347,0.15271731632918398,0.22838276994380094,0.1521819042888577,0.4475481301721518,0.1152011715627933,0.15929816836705268,0.13175172778776212,0.1571167157015629,0.06342739061478145,0.12048074141111202,0.3947678452497162,0.09344763684240419,0.16960421100079912,0.1410255834525066,0.13657878053066425,0.4001436465854057,0.15940250745020157,0.29747559129849005,0.15256023272084965,0.15272507109012065,0.39784834298245136,0.22678739553480226,0.2975771585888004,0.40497240438857773,0.09272455527313993,0.15148933296799408,0.45271320244560304,0.42126598724973424,0.08686299748001482,0.15223070076745118,0.16442819762991379,0.15077365612983074
set_04,0.12008372169772089,0.46374741725192836,0.15184935658009596,0.15147817593260798,0.07834196844559001,0.12644483682658608,0.13092523714148707,0.14940349317256987,0.4427280124107687,0.405037765163268,0.40451007652672716,0.48380128094098834,0.4823843832847983,0.1447260366058746,0.09436477286457845,0.23461878826314228,0.1380241290765512,0.47210291192405157,0.08086301994433179,0.14157822431897107,0.1114183218634825,0.1287896466942568,0.061312068671196436,0.10712808461104975,0.4650524517244339,0.0761416781071595,0.14647969994823318,0.11524613634266774,0.11076897079007929,0.43652539250001005,0.1619557170541251,0.31886753923788774,0.14313596697806344,0.14476679531139902,0.4734726869173637,0.23270165824194686,0.3169402701785524,0.4454781469663732,0.0781988385558629,0.11111159401818363,0.4611607134501981,0.4835896098609025,0.08204815135747268,0.1565476498799575,0.16621397490077425,0.12633990549469234
set_05,0.1320753004551188,0.5960067527353875,0.14972572136739132,0.1669657284949916,0.14006589942845835,0.14885121942177398,0.15849786067225757,0.1536120881579436,0.5838392373068191,0.5334665137226586,0.5383499909180033,0.32786366843321507,0.32603528710087526,0.16731374700747723,0.11268021517096091,0.27534053065781333,0.16055688729680362,0.3291289460703916,0.12018424053056194,0.16941026108019705,0.14970145458420328,0.11279842245588974,0.06892738567693135,0.13635854073519726,0.573869263182287,0.09709774729046194,0.17912256987680633,0.1782488221584189,0.15057179611055857,0.7101178387387993,0.17568170452187212,0.4112606820427149,0.15915039116267335,0.13875599657650445,0.5596252840855607,0.2729820250301103,0.4073156094040533,0.6281429726081708,0.08831135257373864,0.1604202636016047,0.3279070684057001,0.3271972228980058,0.09008529450561928,0.1667453919114443,0.1811427351757435,0.18331375087996807
set_06,0.035979244973821475,0.03311272942504513,0.032673588966772436,0.03463251334444054,0.07550586954492125,0.03571530312635514,0.035000318924925646,0.033233334870069985,0.03360974759526174,0.031604723741322616,0.03162336370472391,0.032389558719931294,0.031171168143923636,0.0341387161801197,0.07384791611998412,0.034103110992660834,0.034400519261261975,0.030901049398478177,0.07017721564734722,0.03525544105259018,0.035063468665831765,0.03364715612433176,0.06287456391956601,0.03379903941665183,0.034049006080120986,0.06699831505723089,0.03407822263902802,0.034552143743258185,0.0332638308191501,0.03412103619524993,0.034109713663608876,0.034315616230993364,0.03451440429979173,0.03438155788599656,0.032655420851628106,0.034354266903493455,0.033588008292881166,0.033216388414362266,0.06678295371419392,0.033573580465416024,0.03427709224469316,0.031065213832933453,0.06869422373292784,0.03431180825433971,0.03380987466889215,0.034346562274922866
set_07,0.18295249706265093,0.4375793085974034,0.1623268778242487,0.1766076179324427,0.11137677547347777,0.15192073176033474,0.15688779172650016,0.16320504829399637,0.39656896124858804,0.37338024763705513,0.3730438141127004,0.4387642986310056,0.4296296979950833,0.15893710313064902,0.1291884155223002,0.2301650613484146,0.16898767506124368,0.4551797368571592,0.21200528403320515,0.17575065684109092,0.14305155757787832,0.19050343236977485,0.07673749184395873,0.14947858853303136,0.40978199893733286,0.14742094897603195,0.18949932648195708,0.16269816462800507,0.1410923107244657,0.4103721127209204,0.1601647346327697,0.30305140705388445,0.1632769313758376,0.1671412142877273,0.4131709555893443,0.22873234294067316,0.3029531872498443,0.41835729184143267,0.15963349318375175,0.17271292470325153,0.4569693187949564,0.4351739614057983,0.17536251955183865,0.17064662650299212,0.16505248594628585,0.18198128854624263
set_08,0.16775973032861216,0.4372099445022182,0.16860468436757767,0.16900031523572978,0.09334089750607594,0.15163686145261637,0.15907111387118145,0.1618688591959157,0.39242330427754246,0.36992404860619066,0.3695817633090317,0.42872385125905177,0.421442376158312,0.16269864650060636,0.21178243931524424,0.22946349403704294,0.16644559307270754,0.43997354922391474,0.13696583023452616,0.17791872582235338,0.15164736094223533,0.18196416649958336,0.07657612790460801,0.14435981533572148,0.4057284290656844,0.13153981453247857,0.203676046736829,0.15283625416665017,0.14275048030125212,0.404713816667105,0.1602047901609185,0.3019049463300363,0.15836138208631642,0.17454492281792736,0.40863768715141413,0.22873611582252187,0.3023767547841683,0.4174193376039348,0.17917981983828604,0.1649344807412842,0.4399624485728043,0.42590643993149435,0.14906873122783687,0.1779915008781921,0.1650556103942261,0.16880800880913324
set_09,0.19066347960111252,0.3756746401436733,0.16438596733963656,0.170391918908754,0.1122644139325192,0.1322890084968186,0.14005053450146715,0.14354379379109874,0.3341448096896694,0.3014700603107355,0.30104185348754636,0.9182286596778996,0.8280661079129488,0.15009299936668283,0.20140105947006648,0.21218468934471604,0.1513146244086791,0.8057931831027181,0.14236684647974526,0.15358381602244783,0.15593286795791622,0.1845028531807121,0.06969613002134413,0.1882997581242618,0.3490495323289387,0.1294224573515238,0.22345430516512876,0.1679175215225903,0.1664465072795454,0.3360752879495214,0.1534992025246088,0.26981812467600236,0.16287067604586128,0.15982149072563764,0.3661782916153703,0.2101181721077612,0.2660917146687983,0.33552430203290895,0.10839204069909945,0.18202322685817315,0.7232008842440626,0.8789369481642043,0.11274085351941156,0.16094535426629253,0.15743396928883427,0.16989190387877046
set_10,0.1697751144138443,0.42626167042181273,0.1695227542350052,0.17363307784882906,0.09286649868384877,0.14532598706621586,0.15005350922520322,0.16657478905814313,0.39107027027538516,0.3695097428205013,0.36953564083141277,0.4361413881574964,0.42504065479162795,0.15534360959437332,0.17648195356026428,0.22953558520950407,0.16174669256906887,0.4599576291857008,0.14197660644791307,0.16834967128707481,0.14151427316373427,0.1765774212471077,0.07111494744595583,0.13982671898740234,0.40346130686725934,0.1240715860615699,0.20014358981238284,0.1545363570429833,0.13745498133607215,0.4075972053981464,0.15964916752801347,0.30026657039091825,0.15805851124566014,0.16227069614920922,0.40732254883195873,0.22741831175483854,0.2998727352419842,0.409022107384638,0.1174628492787521,0.1684655200937043,0.4653847811627613,0.43169369055352486,0.11873281544078881,0.17302770082556515,0.164633088068191,0.1813363248243978
